n.identity,n.properties.languages,n.properties.year,n.properties.imdbId,n.properties.runtime,n.properties.imdbRating,n.properties.movieId,n.properties.countries,n.properties.imdbVotes,n.properties.title,n.properties.url,n.properties.revenue,n.properties.tmdbId,n.properties.plot,n.properties.poster,n.properties.released,n.properties.budget
690,"['Italian', ' English']",1996.0,0115472,96.0,5.3,828,"['UK', ' USA', ' France', ' Germany', ' Czech Republic']",4011.0,"Adventures of Pinocchio, The",https://themoviedb.org/movie/18975,,18975,"One of puppet-maker Geppetto's creations comes magically to life. This puppet, Pinocchio, has one major desire and that is to become a real boy someday. In order to accomplish this goal he ...",https://image.tmdb.org/t/p/w440_and_h660_face/oJQ7kM3twRoCU7xamAPWLwHRYFk.jpg,1996-07-26,
691,"['English', ' Spanish']",1996.0,0116707,80.0,5.4,829,['USA'],10338.0,Joe's Apartment,https://themoviedb.org/movie/11962,4619014.0,11962,"A nice guy has just moved to New York and discovers that he must share his run-down apartment with a couple thousand singing, dancing cockroaches.",https://image.tmdb.org/t/p/w440_and_h660_face/jyBlFYjX2N1fIH0NfJtW6ctLP17.jpg,1996-07-26,13000000.0
692,['English'],1996.0,0116313,103.0,6.2,830,['USA'],30768.0,"First Wives Club, The",https://themoviedb.org/movie/2925,116400000.0,2925,"Reunited by the death of a college friend, three divorced women seek revenge on the husbands who left them for younger women.",https://image.tmdb.org/t/p/w440_and_h660_face/2ApifgYnfdJUSmCKzTBrWOYYWsn.jpg,1996-09-20,26000000.0
693,['English'],1995.0,0114550,99.0,7.2,831,"['UK', ' USA']",1115.0,Stonewall,https://themoviedb.org/movie/28628,,28628,A group of homosexual people try to live with dignity and self-respect while events build to the opening battle in the major gay rights movement.,https://image.tmdb.org/t/p/w440_and_h660_face/pCkn7r7V9UFmtuREaKmaoI5OeeT.jpg,1996-09-03,
694,['English'],1996.0,0117438,121.0,6.6,832,['USA'],96424.0,Ransom,https://themoviedb.org/movie/3595,309492681.0,3595,"When a rich man's son is kidnapped, he cooperates with the police at first but then tries a unique tactic against the criminals.",https://image.tmdb.org/t/p/w440_and_h660_face/psTGc4mOQ60AHlqP7sxxyqzHVLy.jpg,1996-11-08,80000000.0
695,['English'],1996.0,0116531,86.0,5.4,833,['USA'],10602.0,High School High,https://themoviedb.org/movie/9308,21302121.0,9308,"Richard Clark has just left the well-known Wellington Academy to teach at Marion Barry High School. Now, he will try to inspire the D-average students into making good grades and try to woo a fellow teacher.",https://image.tmdb.org/t/p/w440_and_h660_face/y8xLC2EpknonqkSZzVwjikH5yVS.jpg,1996-10-25,
696,['English'],1996.0,0117332,89.0,3.9,834,['USA'],667.0,Phat Beach,https://themoviedb.org/movie/92381,,92381,A hefty homeboy borrows his dad's Mercedes and goes to the beach with his friends for wild sun & fun.,https://image.tmdb.org/t/p/w440_and_h660_face/g3PJYl0hGQpwzKrBG1toftMrdEU.jpg,1996-08-02,
697,['English'],1996.0,0116353,102.0,6.1,835,['USA'],6878.0,Foxfire,https://themoviedb.org/movie/18555,258263.0,18555,The story of five teenage girls who form an unlikely bond after beating up a teacher who has sexually harassed them. They build a solid friendship but their wild ways begin to get out of ...,https://image.tmdb.org/t/p/w440_and_h660_face/ywrSScJT43HerqWPlMu8nigLFzg.jpg,1996-08-23,
698,['English'],1996.0,0115857,107.0,5.6,836,['USA'],39287.0,Chain Reaction,https://themoviedb.org/movie/12123,60209334.0,12123,Two researchers in a green alternative energy project are put on the run when they are framed for murder and treason.,https://image.tmdb.org/t/p/w440_and_h660_face/vWkF2tfnrRBHExZmGeOC9bM0siq.jpg,1996-08-02,50000000.0
699,['English'],1996.0,0117008,102.0,6.8,837,['USA'],83885.0,Matilda,https://themoviedb.org/movie/10830,33459416.0,10830,"Story of a wonderful little girl, who happens to be a genius, and her wonderful teacher vs. the worst parents ever and the worst school principal imaginable.",https://image.tmdb.org/t/p/w440_and_h660_face/wnLbqoGRGdnPNjMV6rY75wgRamd.jpg,1996-08-02,36000000.0
700,['English'],1996.0,0116191,120.0,6.8,838,"['UK', ' USA']",26809.0,Emma,https://themoviedb.org/movie/3573,22231658.0,3573,In rural 1800s England things go bad for a young matchmaker after she finds a man for another woman.,https://image.tmdb.org/t/p/w440_and_h660_face/k1RXXkdEs8hDEgeLXPgCUebzs8n.jpg,1996-08-30,6000000.0
701,['English'],1996.0,0115986,84.0,4.5,839,['USA'],15256.0,"Crow: City of Angels, The",https://themoviedb.org/movie/10546,17917287.0,10546,"Many years after the first film, the spirit of the Crow resurrects another man seeking revenge for the murder of his son.",https://image.tmdb.org/t/p/w440_and_h660_face/dS76LG2mja6PP0JeRdMoq7UyMAL.jpg,1996-08-30,13000000.0
702,['English'],1996.0,0116571,108.0,5.7,840,['USA'],6382.0,House Arrest,https://themoviedb.org/movie/18862,,18862,"A group of children, desperate to keep their various parents from getting divorces, kidnap them and hold them prisoner in a basement in order to force them to reconcile.",https://image.tmdb.org/t/p/w440_and_h660_face/5Vj7puRpgPVgQsWt4T0o5ix9BzT.jpg,1996-08-14,
703,['French'],1960.0,0053459,90.0,7.8,841,"['France', ' Italy']",15980.0,"Eyes Without a Face (Yeux sans visage, Les)",https://themoviedb.org/movie/31417,58656.0,31417,"A surgeon causes an accident which leaves his daughter disfigured, and goes to extremes to give her a new face.",https://image.tmdb.org/t/p/w440_and_h660_face/8y7Z9Gvcq52uOlJlUWyn2epGGRd.jpg,1962-10-24,
704,"['English', ' Spanish']",1996.0,0117826,87.0,5.2,842,['USA'],10306.0,Tales from the Crypt Presents: Bordello of Blood,https://themoviedb.org/movie/9431,5600000.0,9431,The Crypt Keeper returns to tell the story of a funeral parlor that moonlights as a vampire bordello.,https://image.tmdb.org/t/p/w440_and_h660_face/aKkUQ0Zd9TFlqfcMMHFKQBB15wZ.jpg,1996-08-16,15000000.0
705,['Mandarin'],1994.0,0108227,90.0,6.6,844,['China'],48.0,"Story of Xinghua, The (Xinghua san yue tian)",https://themoviedb.org/movie/297645,,297645,"Gesitueerd in een verlaten dorp nabij de ruines van de Grote Muur in Noord-China, schetst dit allegorisch drama het conflict tussen morele corruptie, oude Onder het systeem van vrije handel...",,1996-03-30,
706,['Mandarin'],1994.0,0111424,99.0,7.2,845,['Hong Kong'],180.0,"Day the Sun Turned Cold, The (Tianguo niezi)",https://themoviedb.org/movie/48144,,48144,Guan Jian wants to report the murder of his father who died 10 years ago. The alleged murderer whom Guan Jian accuses of the crime is his own mother.,,1996-05-15,
707,"['English', ' Japanese', ' German']",1995.0,0113080,85.0,6.3,846,"['USA', ' Germany', ' Japan']",1592.0,Flirt,https://themoviedb.org/movie/46986,,46986,"The same situation is played out in different cities (New York, Berlin and Tokyo). A lover has to choose whether to commit to a partner who is returning home. In each case there are other ...",https://image.tmdb.org/t/p/w440_and_h660_face/gxvzR6DNBKQOQZmCDFZoMJs20TL.jpg,1996-08-07,
708,['English'],1996.0,0117718,117.0,6.9,848,['USA'],4799.0,"Spitfire Grill, The",https://themoviedb.org/movie/47907,12643776.0,47907,"Percy, upon being released from prison, goes to the small town of Gillead, to find a place where she can start over again. She is taken in by Hannah, to help out at her place, the Spitfire ...",https://image.tmdb.org/t/p/w440_and_h660_face/2pyhUxh7Dn82MD3zOzT9TTnNsXp.jpg,1996-09-06,6000000.0
709,['English'],1996.0,0116225,101.0,5.7,849,['USA'],51801.0,Escape from L.A.,https://themoviedb.org/movie/10061,42277365.0,10061,"Snake Plissken is once again called in by the United States government to recover a potential doomsday device from Los Angeles, now an autonomous island where undesirables are deported.",https://image.tmdb.org/t/p/w440_and_h660_face/3L9lL2eUsmLNNfENPwNOc82Hzpw.jpg,1996-08-09,50000000.0
710,['Vietnamese'],1995.0,0112767,123.0,7.4,850,"['Vietnam', ' France', ' Hong Kong']",3717.0,Cyclo (Xich lo),https://themoviedb.org/movie/36266,,36266,A young man who struggles through life by earning some money with his bicycle-taxi in Saigon (Ho Chi Minh city) gets contact to a group of criminals. They introduce him to the mafia-world ...,https://image.tmdb.org/t/p/w440_and_h660_face/mdOsnSVTLwHMEH1juOLMiwXcO5o.jpg,1996-08-02,
711,"['English', ' Spanish']",1996.0,0115632,108.0,6.9,851,['USA'],15497.0,Basquiat,https://themoviedb.org/movie/549,3011195.0,549,"Basquiat tells the story of the meteoric rise of youthful artist Jean-Michel Basquiat. Starting out as a street artist, living in Thompkins Square Park in a cardboard box, Jean-Michel is ...",https://image.tmdb.org/t/p/w440_and_h660_face/qS3zqMxjcXcHUUExvt2uhRvqi8Y.jpg,1996-08-09,2962051.0
712,['English'],1996.0,0117918,135.0,6.3,852,['USA'],36826.0,Tin Cup,https://themoviedb.org/movie/10478,53854588.0,10478,A washed up golf pro working at a driving range tries to qualify for the US Open in order to win the heart of his succesful rival's girlfriend.,https://image.tmdb.org/t/p/w440_and_h660_face/rB7OvMmjcBFoogleORaUqrRgp8g.jpg,1996-08-16,45000000.0
713,['Japanese'],1958.0,0051980,98.0,8.0,854,['Japan'],1429.0,"Ballad of Narayama, The (Narayama Bushiko)",https://themoviedb.org/movie/116690,,116690,"In Kabuki style, the film tells the story of a remote mountain village where the scarcity of food leads to a voluntary but socially-enforced policy in which relatives carry 70-year-old ...",https://image.tmdb.org/t/p/w440_and_h660_face/2QAvJHnDpPJCWZD5szGpi5mp29Y.jpg,1961-06-19,
714,"['English', ' Italian', ' Latin']",1972.0,0068646,175.0,9.2,858,['USA'],1110051.0,"Godfather, The",https://themoviedb.org/movie/238,245066411.0,238,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,https://image.tmdb.org/t/p/w440_and_h660_face/iVZ3JAcAjmguGPnRNfWFOtLHOuY.jpg,1972-03-24,6000000.0
715,"['Cantonese', ' English', ' Mandarin', ' Malay', ' Thai']",1992.0,0104558,91.0,6.9,861,['Hong Kong'],14420.0,Supercop (Police Story 3: Supercop) (Jing cha gu shi III: Chao ji jing cha),https://themoviedb.org/movie/11134,20483423.0,11134,A Hong Kong detective teams up with his female Red Chinese counterpart to stop a Chinese drug czar.,https://image.tmdb.org/t/p/w440_and_h660_face/tEhfQ0pCVCAn9VVCC6bpwJ9CvIx.jpg,1996-07-26,900000.0
716,['English'],1995.0,0114936,101.0,6.3,864,['USA'],263.0,"Wife, The",https://themoviedb.org/movie/132641,,132641,"Tom Noonan's dark comedy features a husband-and-wife team of psychotherapists who run a New-Age therapy group out in the wilderness. Late one night, Jack and Rita are visited by one of ...",https://image.tmdb.org/t/p/w440_and_h660_face/9DMw6CFftuzLYpbftcOFmyZekJ6.jpg,1996-08-16,
717,['English'],1996.0,0114474,108.0,7.1,865,['UK'],1244.0,Small Faces,https://themoviedb.org/movie/42758,,42758,"Three teenage brothers, gang-member Bobby, troubled mama's boy Alan and self-assured prankster Lex, reside in a downtrodden section of Glasgow, Scotland, circa 1968. But while Bobby and ...",https://image.tmdb.org/t/p/w440_and_h660_face/pYFtU8vFj86TY435w99aK5fNjzl.jpg,1996-08-14,1850000.0
718,['English'],1996.0,0115736,108.0,7.4,866,['USA'],40200.0,Bound,https://themoviedb.org/movie/9303,7011317.0,9303,"Corky, a tough female ex con and her lover Violet concoct a scheme to steal millions of stashed mob money and pin the blame on Violet's crooked boyfriend Caesar.",https://image.tmdb.org/t/p/w440_and_h660_face/9qAy6UWVw44dGrsyKrdEMt5qIUM.jpg,1996-10-04,4500000.0
719,['English'],1996.0,0115836,89.0,4.8,867,['USA'],3409.0,Carpool,https://themoviedb.org/movie/23945,,23945,"A man with an important business meeting finds himself having to take care of the carpool for the neighborhood school children when his wife gets sick. Stopping to get donuts for the kids, ...",https://image.tmdb.org/t/p/w440_and_h660_face/rYoZR4EtrfziT5WXhZzcNbH5GuE.jpg,1996-08-23,17000000.0
720,['English'],1996.0,0116745,116.0,6.3,869,"['France', ' USA']",3488.0,Kansas City,https://themoviedb.org/movie/22479,,22479,"Robert Altman's jazz-scored film explores themes of love, crime, race, and politics in 1930s Kansas City. When Blondie O'Hara's husband, a petty thief, is captured by Seldom Seen and held ...",https://image.tmdb.org/t/p/w440_and_h660_face/6feBsNmMDAFoIzZlZRLw00BhJXI.jpg,1996-08-16,18000000.0
721,['English'],1997.0,0119214,94.0,4.6,870,['USA'],7884.0,Gone Fishin',https://themoviedb.org/movie/9054,19745922.0,9054,Two fishing fanatics get in trouble when their fishing boat gets stolen while on a trip.,https://image.tmdb.org/t/p/w440_and_h660_face/a2Dc47BFtXzErIYr8nEGzdq2Or8.jpg,1997-05-30,53000000.0
722,['Mandarin'],1994.0,0109066,118.0,7.4,872,['Taiwan'],2223.0,Vive L'Amour (Ai qing wan sui),https://themoviedb.org/movie/11985,,11985,"The film focuses on three city folks who unknowingly share the same apartment: Mei, a real estate agent who uses it for her sexual affairs; Ah-jung, her current lover; and Hsiao-ang, who's ...",https://image.tmdb.org/t/p/w440_and_h660_face/kzT7WvRaolavasYSWnaefGUx8Wi.jpg,1996-07-22,
723,['English'],1994.0,0110693,,6.0,875,['Canada'],50.0,Nothing to Lose,https://themoviedb.org/movie/410921,,410921,"A young street fighter seeks revenge against a powerful drug lord who killed his entire family. Using of his many special combat skills, he's about to take down a whole criminal operation, reaching his goal whatever the consequences.",,,
724,['Cantonese'],1993.0,0106544,104.0,6.1,876,['Hong Kong'],2982.0,Supercop 2 (Project S) (Chao ji ji hua),https://themoviedb.org/movie/38955,,38955,"As a crime wave sweeps through Hong Kong, the police call on Jessica Yang, a rising star in their ranks, to help stop a notorious gang of thieves.",https://image.tmdb.org/t/p/w440_and_h660_face/7Ehl4KBPNIvMQZ8W54puJ2mAOUt.jpg,1993-10-21,
725,['English'],1997.0,0120004,110.0,5.7,879,"['UK', ' Germany', ' Japan', ' New Zealand', ' USA']",18558.0,"Relic, The",https://themoviedb.org/movie/11015,33956608.0,11015,"A homicide detective and an anthropologist try to destroy a South American lizard-like god, who's on a people eating rampage in a Chicago museum.",https://image.tmdb.org/t/p/w440_and_h660_face/3MpMbZTrXp6ccrir16nV7YTJ4vx.jpg,1997-01-10,60000000.0
726,"['English', ' Indonesian']",1996.0,0116654,96.0,4.4,880,['USA'],25483.0,"Island of Dr. Moreau, The",https://themoviedb.org/movie/9306,49627779.0,9306,"After being rescued and brought to an island, a man discovers that its inhabitants are experimental animals being turned into strange-looking humans, all of it the work of a visionary doctor.",https://image.tmdb.org/t/p/w440_and_h660_face/hOJeQXve8W9rNRhdgC1WV3GQJyA.jpg,1996-08-23,40000000.0
727,['English'],1996.0,0116311,101.0,5.1,881,['USA'],7341.0,First Kid,https://themoviedb.org/movie/12559,,12559,"Luke Davenport is the thirteen-year-old son of Paul Davenport, the President of the United States, and first lady Linda Davenport. Ill tempered Agent Woods is the secret service agent in ...",https://image.tmdb.org/t/p/w440_and_h660_face/yykc14pfZbtDMSPRkFXgZ1Lla8I.jpg,1996-08-30,
728,['English'],1996.0,0117965,94.0,5.6,882,['USA'],4699.0,"Trigger Effect, The",https://themoviedb.org/movie/58770,,58770,"How tenuous is man's hold on civilization when survival becomes an issue? When the lights go out and stay out for several days, suburbanites Matthew and Annie learn the hard way that man is...",https://image.tmdb.org/t/p/w440_and_h660_face/9c27xN7zUdYaSiQ6yiPgrmFgrTZ.jpg,1996-08-30,8000000.0
729,"['English', ' French']",1996.0,0115725,110.0,5.3,885,['USA'],5078.0,Bogus,https://themoviedb.org/movie/3587,,3587,"Recently orphaned, a young boy is taken in by his godmother who is shocked to realize that she can see the boy's imaginary friend: a flamboyant, French magician named Bogus.",https://image.tmdb.org/t/p/w440_and_h660_face/pVrMGMgn9VHVoIAVPygFuACJhSJ.jpg,1996-09-06,32000000.0
730,['English'],1996.0,0115783,84.0,5.8,886,['USA'],28838.0,Bulletproof,https://themoviedb.org/movie/10723,22611954.0,10723,"Two criminals, Keats and Moses, end their friendship when Keats turns out to be an undercover cop. Years later the two are forced to work together when Keats is assigned to protect Moses as a witness.",https://image.tmdb.org/t/p/w440_and_h660_face/gW5GlLqtflxtZN2Qnqv0y9gpRlK.jpg,1996-09-06,25000000.0
731,['English'],1995.0,0113596,71.0,5.6,888,['USA'],3878.0,Land Before Time III: The Time of the Great Giving,https://themoviedb.org/movie/19004,,19004,"A nearby meteorite crash blocks off the dinosaurs' water supply, starting an ecological chain-reaction that threatens life in the valley. All the dinosaurs, including a group of stupid ...",https://image.tmdb.org/t/p/w440_and_h660_face/iQOHOizgqwGz3KogSGkvX7DEQ5D.jpg,1995-12-15,
732,['Dutch'],1994.0,0109001,87.0,6.3,889,['Netherlands'],549.0,1-900 (06),https://themoviedb.org/movie/101230,,101230,"Sarah, 30, single, well educated, likes art, places a voice ad for phone sex, inviting replies from men under 35, sturdy and sensual. Wilbert, a chubby middle aged architect, leaves a ...",https://image.tmdb.org/t/p/w440_and_h660_face/eFr2vsGXE8JtClQzZei2OnjUEuq.jpg,1994-09-01,
733,['English'],1995.0,0113253,87.0,4.9,891,['USA'],20186.0,Halloween: The Curse of Michael Myers (Halloween 6: The Curse of Michael Myers),https://themoviedb.org/movie/10987,15116634.0,10987,"Six years after Michael Myers last terrorized Haddonfield, he returns there in pursuit of his niece, Jamie Lloyd, who has escaped with her newborn child, for which Michael and a mysterious cult have sinister plans.",https://image.tmdb.org/t/p/w440_and_h660_face/lepPd0SRf4CEEYzuoUsyFA1egHE.jpg,1995-09-29,5000000.0
734,['English'],1996.0,0117991,134.0,7.4,892,"['UK', ' Ireland', ' USA']",4740.0,Twelfth Night,https://themoviedb.org/movie/44705,,44705,"Shakespeare's comedy of gender confusion, in which a girl disguises herself as a man to be near the count she adores, only to be pursued by the woman he loves.",https://image.tmdb.org/t/p/w440_and_h660_face/uMvHIh50LqWJxUK26eYWV10epdq.jpg,1996-10-25,
735,"['English', ' German', ' Yiddish']",1996.0,0117093,114.0,7.2,893,['USA'],4130.0,Mother Night,https://themoviedb.org/movie/20318,,20318,"An American spy behind the lines during WWII serves as a Nazi propagandist, a role he cannot escape in his future life as he can never reveal his real role in the war.",https://image.tmdb.org/t/p/w440_and_h660_face/cJtOHLb96rcLjgLS4FM9fqEKcd6.jpg,1996-11-01,
736,['French'],1994.0,0111019,110.0,7.6,896,['France'],4014.0,Wild Reeds (Les roseaux sauvages),https://themoviedb.org/movie/26933,,26933,"In a village in the Southwest of France, 1962. Maite and Francois are 18 years old. They are friends, not lovers. In Francois's classroom, there are Serge, whose brother has just married to...",https://image.tmdb.org/t/p/w440_and_h660_face/vIb9kzseUun3QGoJkoL94jdNOBw.jpg,1995-05-10,
737,"['English', ' Spanish']",1943.0,0035896,170.0,7.0,897,['USA'],5990.0,For Whom the Bell Tolls,https://themoviedb.org/movie/27854,,27854,"During the Spanish Civil War, an American allied with the Republicans finds romance during a desperate mission to blow up a strategically important bridge.",https://image.tmdb.org/t/p/w440_and_h660_face/uoNTHrpeOgIuWsC5Eucx5Sp483D.jpg,1944-04-28,3000000.0
738,"['English', ' French']",1940.0,0032904,112.0,8.1,898,['USA'],49040.0,"Philadelphia Story, The",https://themoviedb.org/movie/981,,981,"When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself.",https://image.tmdb.org/t/p/w440_and_h660_face/o4cYWubhrBFF56IyEyce89lMb5y.jpg,1940-12-26,
739,['English'],1952.0,0045152,103.0,8.3,899,['USA'],144026.0,Singin' in the Rain,https://themoviedb.org/movie/872,7200000.0,872,A silent film production company and cast make a difficult transition to sound.,https://image.tmdb.org/t/p/w440_and_h660_face/w03EiJVHP8Un77boQeE7hg9DVdU.jpg,1952-04-11,2540800.0
740,"['English', ' French', ' German']",1951.0,0043278,113.0,7.3,900,['USA'],21152.0,"American in Paris, An",https://themoviedb.org/movie/2769,4500000.0,2769,Three friends struggle to find work in Paris. Things become more complicated when two of them fall in love with the same woman.,https://image.tmdb.org/t/p/w440_and_h660_face/lyDXkvG53ldz6Cf7dbjJl7TaoP5.jpg,1951-11-11,2723903.0
741,"['English', ' French']",1957.0,0050419,103.0,7.1,901,['USA'],18121.0,Funny Face,https://themoviedb.org/movie/13320,,13320,An impromptu fashion shoot at a book store brings about a new fashion model discovery in the shop clerk.,https://image.tmdb.org/t/p/w440_and_h660_face/1CW8Wn2itBQ7wACBQHpOyIbPpmD.jpg,1957-02-13,
742,"['English', ' Portuguese']",1961.0,0054698,115.0,7.8,902,['USA'],118021.0,Breakfast at Tiffany's,https://themoviedb.org/movie/164,9500000.0,164,A young New York socialite becomes interested in a young man who has moved into her apartment building.,https://image.tmdb.org/t/p/w440_and_h660_face/2xpf0cwILMTLi5a95qmqk6lROOr.jpg,1961-11-04,2500000.0
743,['English'],1958.0,0052357,128.0,8.4,903,['USA'],238072.0,Vertigo,https://themoviedb.org/movie/426,28000000.0,426,"A San Francisco detective suffering from acrophobia investigates the strange activities of an old friend's wife, all the while becoming dangerously obsessed with her.",https://image.tmdb.org/t/p/w440_and_h660_face/15uOEfqBNTVtDUT7hGBVCka0rZz.jpg,,2479000.0
744,['English'],1954.0,0047396,112.0,8.5,904,['USA'],303434.0,Rear Window,https://themoviedb.org/movie/567,36764313.0,567,A wheelchair-bound photographer spies on his neighbours from his apartment window and becomes convinced one of them has committed murder.,https://image.tmdb.org/t/p/w440_and_h660_face/qitnZcLP7C9DLRuPpmvZ7GiEjJN.jpg,1954-08-01,1000000.0
745,['English'],1934.0,0025316,105.0,8.2,905,['USA'],62136.0,It Happened One Night,https://themoviedb.org/movie/3078,4500000.0,3078,"A spoiled heiress, running away from her family, is helped by a man who is actually a reporter in need of a story.",https://image.tmdb.org/t/p/w440_and_h660_face/tr0Tb47eYIjYTT9H7qOYStkOwOc.jpg,1934-02-23,325000.0
746,['English'],1944.0,0036855,114.0,7.9,906,['USA'],16185.0,Gaslight,https://themoviedb.org/movie/13528,,13528,"Years after her aunt was murdered in her home, a young woman moves back into the house with her new husband. However, he has a secret that he will do anything to protect, even if it means driving his wife insane.",https://image.tmdb.org/t/p/w440_and_h660_face/evrO3kZc2JCil7bZUv3oC24jidu.jpg,1944-05-01,2068000.0
747,"['English', ' French', ' Italian']",1934.0,0025164,107.0,7.6,907,['USA'],5123.0,"Gay Divorcee, The",https://themoviedb.org/movie/28288,,28288,Mimi Glossop wants a divorce so her Aunt Hortense hires a professional to play the correspondent in apparent infidelity. American dancer Guy Holden meets Mimi while visiting Brightbourne (...,https://image.tmdb.org/t/p/w440_and_h660_face/xD6oUOAa0Q6PppaOnY6dy6sWPLG.jpg,1934-10-12,520000.0
748,['English'],1959.0,0053125,136.0,8.4,908,['USA'],212760.0,North by Northwest,https://themoviedb.org/movie/213,13275000.0,213,"A hapless New York advertising executive is mistaken for a government agent by a group of foreign spies, and is pursued across the country while he looks for a way to survive.",https://image.tmdb.org/t/p/w440_and_h660_face/i3g0KIoXYx5RvyVaraYx9n2LCli.jpg,1959-09-26,4000000.0
749,['English'],1960.0,0053604,125.0,8.3,909,['USA'],104882.0,"Apartment, The",https://themoviedb.org/movie/284,25000000.0,284,"A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.",https://image.tmdb.org/t/p/w440_and_h660_face/95zlq13ql7d5V6TEMRRYilTmTOp.jpg,1960-09-16,3000000.0
750,['English'],1959.0,0053291,120.0,8.3,910,['USA'],169135.0,Some Like It Hot,https://themoviedb.org/movie/239,25000000.0,239,"When two musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",https://image.tmdb.org/t/p/w440_and_h660_face/hVIKyTK13AvOGv7ICmJjK44DTzp.jpg,1959-03-29,2883848.0
751,"['English', ' French', ' German', ' Italian']",1963.0,0056923,113.0,8.0,911,['USA'],48393.0,Charade,https://themoviedb.org/movie/4808,13474588.0,4808,Romance and suspense ensue in Paris as a woman is pursued by several men who want a fortune her murdered husband had stolen. Who can she trust?,https://image.tmdb.org/t/p/w440_and_h660_face/7nelxrDSzbF4lZm6kbIUGIGbAlN.jpg,1963-12-05,4000000.0
752,"['English', ' French', ' German', ' Italian']",1942.0,0034583,102.0,8.6,912,['USA'],374372.0,Casablanca,https://themoviedb.org/movie/289,10462500.0,289,"In Casablanca, Morocco during the early days of World War II, an American expatriate meets a former lover, with unforeseen complications.",https://image.tmdb.org/t/p/w440_and_h660_face/5K7cOHoay2mZusSLezBOY0Qxh8a.jpg,1943-01-23,878000.0
753,['English'],1941.0,0033870,100.0,8.1,913,['USA'],109292.0,"Maltese Falcon, The",https://themoviedb.org/movie/963,1772000.0,963,"A private detective takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette.",https://image.tmdb.org/t/p/w440_and_h660_face/bf4o6Uzw5wqLjdKwRuiDrN1xyvl.jpg,1941-10-18,375000.0
754,['English'],1964.0,0058385,170.0,7.9,914,['USA'],64801.0,My Fair Lady,https://themoviedb.org/movie/11113,72661442.0,11113,A misogynistic and snobbish phonetics professor agrees to a wager that he can take a flower girl and make her presentable in high society.,https://image.tmdb.org/t/p/w440_and_h660_face/bTXVc29lGSNclf94VIZ49W4gGKl.jpg,1964-12-25,17000000.0
755,"['English', ' French']",1954.0,0047437,113.0,7.7,915,['USA'],42585.0,Sabrina,https://themoviedb.org/movie/6620,10000000.0,6620,A playboy becomes interested in the daughter of his family's chauffeur. But it's his more serious brother who would be the better man for her.,https://image.tmdb.org/t/p/w440_and_h660_face/8vvgKw3DbEPNlJAdHe7xXzhb2gN.jpg,1954-10-01,2238813.0
756,"['English', ' Italian', ' German']",1953.0,0046250,118.0,8.1,916,['USA'],96348.0,Roman Holiday,https://themoviedb.org/movie/804,12000000.0,804,A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.,https://image.tmdb.org/t/p/w440_and_h660_face/aIsAxkWv5EHaRn0QR18hy4ZltAN.jpg,1953-09-02,1500000.0
757,"['English', ' Hindi']",1939.0,0031580,93.0,7.3,917,['USA'],4088.0,"Little Princess, The",https://themoviedb.org/movie/26531,,26531,"A little girl is left by her father in an exclusive seminary for girls, due to her father having to go to Africa with the army.",https://image.tmdb.org/t/p/w440_and_h660_face/cnMSURyv7R6gjmUm5SYdTxXLzIO.jpg,1939-03-17,
758,['English'],1944.0,0037059,113.0,7.7,918,['USA'],14601.0,Meet Me in St. Louis,https://themoviedb.org/movie/909,7566000.0,909,"In the year before the 1904 St Louis World's Fair, the four Smith daughters learn lessons of life and love, even as they prepare for a reluctant move to New York.",https://image.tmdb.org/t/p/w440_and_h660_face/aPGcAYwFGNdfkHQnuLnxNBY9AiS.jpg,1945-01-01,1707561.0
759,['English'],1939.0,0032138,102.0,8.1,919,['USA'],280355.0,"Wizard of Oz, The",https://themoviedb.org/movie/630,33754967.0,630,Dorothy Gale is swept away to a magical land in a tornado and embarks on a quest to see the Wizard who can help her return home.,https://image.tmdb.org/t/p/w440_and_h660_face/AvfTP1muzUQ0gWCEAj4hlkTOCtc.jpg,1939-08-25,2777000.0
760,['English'],1939.0,0031381,238.0,8.2,920,['USA'],207086.0,Gone with the Wind,https://themoviedb.org/movie/770,402352579.0,770,A manipulative Southern belle carries on a turbulent affair with a blockade runner during the American Civil War.,https://image.tmdb.org/t/p/w440_and_h660_face/ysPNptq5anZRNLu0rif4m0uQaLF.jpg,1940-01-17,4000000.0
761,['English'],1982.0,0084370,92.0,7.4,921,['USA'],6839.0,My Favorite Year,https://themoviedb.org/movie/31044,,31044,A dissolute matinee idol is slated to appear on a live TV variety show.,https://image.tmdb.org/t/p/w440_and_h660_face/sQ5TLQ24ivOTqpUDQYd5x5m9Oz8.jpg,1982-10-08,
