relationship.start,relationship.end,end.identity,end.properties.name
2659,162,162,Film-Noir
2660,23,23,Horror
2661,10,10,Drama
2662,10,10,Drama
2662,16,16,Thriller
2662,14,14,Crime
2663,4,4,Comedy
2663,10,10,Drama
2664,16,16,Thriller
2664,23,23,Horror
2664,37,37,Sci-Fi
2665,14,14,Crime
2665,4,4,Comedy
2666,4,4,Comedy
2667,49,49,Documentary
2668,10,10,Drama
2668,14,14,Crime
2669,4,4,Comedy
2670,9,9,Romance
2670,10,10,Drama
2670,4,4,Comedy
2671,10,10,Drama
2671,4,4,Comedy
2672,4,4,Comedy
2673,10,10,Drama
2673,4,4,Comedy
2674,4,4,Comedy
2675,10,10,Drama
2675,13,13,Action
2676,16,16,Thriller
2676,13,13,Action
2677,10,10,Drama
2677,4,4,Comedy
2678,10,10,Drama
2678,16,16,Thriller
2679,10,10,Drama
2679,9,9,Romance
2679,4,4,Comedy
2680,4,4,Comedy
2681,4,4,Comedy
2681,10,10,Drama
2682,4,4,Comedy
2682,37,37,Sci-Fi
2683,49,49,Documentary
2684,14,14,Crime
2684,10,10,Drama
2685,10,10,Drama
2685,9,9,Romance
2686,9,9,Romance
2686,10,10,Drama
2687,10,10,Drama
2688,162,162,Film-Noir
2688,10,10,Drama
2688,16,16,Thriller
2688,14,14,Crime
2689,49,49,Documentary
2690,56,56,War
2691,23,23,Horror
2691,37,37,Sci-Fi
2692,4,4,Comedy
2693,56,56,War
2693,10,10,Drama
2694,9,9,Romance
2694,10,10,Drama
2694,4,4,Comedy
2695,23,23,Horror
2696,10,10,Drama
2696,1,1,Adventure
2697,4,4,Comedy
2698,10,10,Drama
2699,23,23,Horror
2700,37,37,Sci-Fi
2701,16,16,Thriller
2701,33,33,Mystery
2701,23,23,Horror
2701,6,6,Fantasy
2702,9,9,Romance
2702,10,10,Drama
2703,6,6,Fantasy
2703,9,9,Romance
2703,10,10,Drama
2703,4,4,Comedy
2704,4,4,Comedy
2704,10,10,Drama
2705,10,10,Drama
2705,9,9,Romance
2706,10,10,Drama
2706,4,4,Comedy
2706,9,9,Romance
2707,10,10,Drama
2707,14,14,Crime
2708,4,4,Comedy
2708,10,10,Drama
2709,162,162,Film-Noir
2709,14,14,Crime
2710,161,161,Western
2710,10,10,Drama
2711,9,9,Romance
2711,161,161,Western
2712,10,10,Drama
2712,16,16,Thriller
2713,10,10,Drama
2714,56,56,War
2714,10,10,Drama
2715,10,10,Drama
2716,162,162,Film-Noir
2717,14,14,Crime
2717,13,13,Action
2718,4,4,Comedy
2719,33,33,Mystery
2719,16,16,Thriller
2719,10,10,Drama
2720,4,4,Comedy
2720,33,33,Mystery
2721,3,3,Children
2721,4,4,Comedy
2722,1,1,Adventure
2722,14,14,Crime
2722,10,10,Drama
2722,9,9,Romance
2723,4,4,Comedy
2724,4,4,Comedy
2725,4,4,Comedy
2725,6,6,Fantasy
2725,9,9,Romance
2726,4,4,Comedy
2726,9,9,Romance
2727,4,4,Comedy
2728,63,63,Musical
2728,4,4,Comedy
2728,3,3,Children
2728,1,1,Adventure
2729,4,4,Comedy
2729,3,3,Children
2730,63,63,Musical
2730,4,4,Comedy
2730,3,3,Children
2731,4,4,Comedy
2731,3,3,Children
2732,6,6,Fantasy
2732,3,3,Children
2732,2,2,Animation
2732,1,1,Adventure
2733,37,37,Sci-Fi
2733,1,1,Adventure
2734,10,10,Drama
2734,9,9,Romance
2734,4,4,Comedy
2735,13,13,Action
2735,10,10,Drama
2736,13,13,Action
2736,10,10,Drama
2737,10,10,Drama
2737,56,56,War
2737,13,13,Action
2737,1,1,Adventure
2738,10,10,Drama
2739,16,16,Thriller
2739,10,10,Drama
2740,10,10,Drama
2740,3,3,Children
2740,1,1,Adventure
2741,56,56,War
2741,9,9,Romance
2741,10,10,Drama
2742,10,10,Drama
2743,4,4,Comedy
2743,1,1,Adventure
2744,10,10,Drama
2744,1,1,Adventure
2744,14,14,Crime
2745,16,16,Thriller
2745,10,10,Drama
2746,4,4,Comedy
2747,9,9,Romance
2747,4,4,Comedy
2748,10,10,Drama
2749,10,10,Drama
2750,10,10,Drama
2750,63,63,Musical
2751,10,10,Drama
2751,9,9,Romance
2752,14,14,Crime
2753,10,10,Drama
2754,2,2,Animation
2754,4,4,Comedy
2755,10,10,Drama
2755,13,13,Action
2755,14,14,Crime
2756,13,13,Action
2756,10,10,Drama
2757,13,13,Action
2757,10,10,Drama
2758,13,13,Action
2758,10,10,Drama
2759,14,14,Crime
2759,10,10,Drama
2759,162,162,Film-Noir
2760,10,10,Drama
2760,9,9,Romance
2761,10,10,Drama
2762,13,13,Action
2762,3,3,Children
2762,4,4,Comedy
2762,6,6,Fantasy
2762,37,37,Sci-Fi
2763,13,13,Action
2763,3,3,Children
2763,6,6,Fantasy
2764,13,13,Action
2764,3,3,Children
2764,1,1,Adventure
2764,6,6,Fantasy
2764,4,4,Comedy
2765,10,10,Drama
2765,13,13,Action
2765,56,56,War
2766,13,13,Action
2766,10,10,Drama
2766,14,14,Crime
2767,13,13,Action
2768,33,33,Mystery
2768,16,16,Thriller
2769,10,10,Drama
2769,4,4,Comedy
2770,10,10,Drama
2771,56,56,War
2771,10,10,Drama
2771,4,4,Comedy
2772,10,10,Drama
2773,4,4,Comedy
2774,10,10,Drama
2775,9,9,Romance
2775,16,16,Thriller
2775,13,13,Action
2775,14,14,Crime
2776,10,10,Drama
2776,9,9,Romance
2777,4,4,Comedy
2777,9,9,Romance
2778,10,10,Drama
2779,16,16,Thriller
2779,10,10,Drama
2780,10,10,Drama
2780,23,23,Horror
2781,4,4,Comedy
2782,10,10,Drama
2782,1,1,Adventure
2782,16,16,Thriller
2783,9,9,Romance
2783,10,10,Drama
2783,4,4,Comedy
2784,4,4,Comedy
2785,10,10,Drama
2786,6,6,Fantasy
2786,4,4,Comedy
2787,10,10,Drama
2787,161,161,Western
2788,10,10,Drama
2789,10,10,Drama
2790,1,1,Adventure
2790,10,10,Drama
2791,37,37,Sci-Fi
2791,10,10,Drama
2791,1,1,Adventure
2792,37,37,Sci-Fi
2792,16,16,Thriller
2793,9,9,Romance
2793,10,10,Drama
2794,23,23,Horror
2794,33,33,Mystery
2795,4,4,Comedy
2795,10,10,Drama
2796,10,10,Drama
2797,9,9,Romance
2797,6,6,Fantasy
2797,1,1,Adventure
2798,10,10,Drama
2798,9,9,Romance
2799,10,10,Drama
2799,9,9,Romance
2799,4,4,Comedy
2800,3,3,Children
2800,2,2,Animation
2801,16,16,Thriller
2802,161,161,Western
2803,1,1,Adventure
2803,4,4,Comedy
2803,6,6,Fantasy
2804,23,23,Horror
2805,4,4,Comedy
2806,4,4,Comedy
2806,9,9,Romance
2806,1,1,Adventure
2807,1,1,Adventure
2807,10,10,Drama
2807,161,161,Western
2808,10,10,Drama
2808,4,4,Comedy
2809,10,10,Drama
2810,4,4,Comedy
2811,10,10,Drama
2812,16,16,Thriller
2812,23,23,Horror
2812,10,10,Drama
2813,10,10,Drama
2813,4,4,Comedy
2814,9,9,Romance
2814,4,4,Comedy
2815,10,10,Drama
2816,33,33,Mystery
2816,10,10,Drama
2816,37,37,Sci-Fi
2817,10,10,Drama
2817,4,4,Comedy
2818,16,16,Thriller
2818,33,33,Mystery
2818,10,10,Drama
2819,10,10,Drama
2819,4,4,Comedy
2820,4,4,Comedy
2821,13,13,Action
2821,10,10,Drama
2821,1,1,Adventure
2821,161,161,Western
2821,16,16,Thriller
2822,10,10,Drama
2823,16,16,Thriller
2823,10,10,Drama
2824,4,4,Comedy
2825,9,9,Romance
2825,10,10,Drama
2826,16,16,Thriller
2826,10,10,Drama
2827,9,9,Romance
2827,4,4,Comedy
2828,4,4,Comedy
2828,6,6,Fantasy
2828,9,9,Romance
2829,10,10,Drama
2829,16,16,Thriller
2830,13,13,Action
2830,10,10,Drama
2830,56,56,War
2831,4,4,Comedy
2832,4,4,Comedy
2832,10,10,Drama
2833,10,10,Drama
2834,4,4,Comedy
2834,9,9,Romance
2835,4,4,Comedy
2836,10,10,Drama
2836,4,4,Comedy
2837,13,13,Action
2837,37,37,Sci-Fi
2837,16,16,Thriller
2838,9,9,Romance
2838,10,10,Drama
2839,16,16,Thriller
2839,14,14,Crime
2840,9,9,Romance
2840,10,10,Drama
2840,4,4,Comedy
2841,10,10,Drama
2842,14,14,Crime
2842,23,23,Horror
2842,33,33,Mystery
2842,16,16,Thriller
2843,9,9,Romance
2843,4,4,Comedy
2843,10,10,Drama
2844,4,4,Comedy
2844,10,10,Drama
2845,4,4,Comedy
2846,49,49,Documentary
2847,33,33,Mystery
2847,9,9,Romance
2847,10,10,Drama
2848,4,4,Comedy
2848,10,10,Drama
2849,4,4,Comedy
2850,63,63,Musical
2850,10,10,Drama
2851,10,10,Drama
2851,16,16,Thriller
2851,23,23,Horror
2852,10,10,Drama
2852,4,4,Comedy
2853,10,10,Drama
2853,4,4,Comedy
2854,9,9,Romance
2854,63,63,Musical
2854,4,4,Comedy
2855,23,23,Horror
2856,16,16,Thriller
2856,10,10,Drama
2856,14,14,Crime
2857,4,4,Comedy
2858,16,16,Thriller
2858,10,10,Drama
2859,10,10,Drama
2859,9,9,Romance
2860,56,56,War
2860,13,13,Action
2860,16,16,Thriller
2861,10,10,Drama
2861,9,9,Romance
2862,16,16,Thriller
2862,33,33,Mystery
2863,4,4,Comedy
2863,10,10,Drama
2863,9,9,Romance
2864,14,14,Crime
2864,10,10,Drama
2864,9,9,Romance
2865,23,23,Horror
2865,13,13,Action
2866,4,4,Comedy
2866,3,3,Children
2867,10,10,Drama
2867,4,4,Comedy
2868,10,10,Drama
2868,4,4,Comedy
2869,9,9,Romance
2869,10,10,Drama
2869,4,4,Comedy
2870,9,9,Romance
2870,4,4,Comedy
2871,10,10,Drama
2871,4,4,Comedy
2872,10,10,Drama
2872,4,4,Comedy
2873,23,23,Horror
2873,37,37,Sci-Fi
2874,23,23,Horror
2874,37,37,Sci-Fi
2875,23,23,Horror
2875,37,37,Sci-Fi
2876,10,10,Drama
2877,23,23,Horror
2877,37,37,Sci-Fi
2877,13,13,Action
2878,10,10,Drama
2878,9,9,Romance
2879,1,1,Adventure
2879,13,13,Action
2879,10,10,Drama
2880,10,10,Drama
2881,10,10,Drama
2882,4,4,Comedy
2883,9,9,Romance
2883,16,16,Thriller
2883,13,13,Action
2883,10,10,Drama
2884,23,23,Horror
2885,10,10,Drama
2885,14,14,Crime
2886,10,10,Drama
2886,4,4,Comedy
2887,10,10,Drama
2887,4,4,Comedy
2888,37,37,Sci-Fi
2888,13,13,Action
2889,10,10,Drama
2889,63,63,Musical
2890,4,4,Comedy
2891,16,16,Thriller
2891,9,9,Romance
2891,10,10,Drama
2891,14,14,Crime
2892,63,63,Musical
2892,4,4,Comedy
2893,63,63,Musical
2893,4,4,Comedy
2894,9,9,Romance
2894,63,63,Musical
2894,4,4,Comedy
2895,63,63,Musical
2896,10,10,Drama
2896,14,14,Crime
2896,63,63,Musical
2897,4,4,Comedy
2897,63,63,Musical
2897,9,9,Romance
2898,1,1,Adventure
2898,4,4,Comedy
2899,49,49,Documentary
2900,3,3,Children
2900,4,4,Comedy
2900,2,2,Animation
2901,6,6,Fantasy
2901,63,63,Musical
2901,9,9,Romance
2901,1,1,Adventure
2901,3,3,Children
2902,4,4,Comedy
2903,9,9,Romance
2903,4,4,Comedy
2904,3,3,Children
2904,2,2,Animation
2904,1,1,Adventure
2905,4,4,Comedy
2905,9,9,Romance
2906,4,4,Comedy
2907,14,14,Crime
2907,4,4,Comedy
2908,4,4,Comedy
2909,10,10,Drama
2909,4,4,Comedy
2910,10,10,Drama
2910,23,23,Horror
2911,4,4,Comedy
2912,1,1,Adventure
2912,13,13,Action
2912,16,16,Thriller
2913,13,13,Action
2913,161,161,Western
2913,1,1,Adventure
2913,4,4,Comedy
2914,4,4,Comedy
2915,23,23,Horror
2915,16,16,Thriller
2916,13,13,Action
2916,10,10,Drama
2916,9,9,Romance
2916,56,56,War
2917,1,1,Adventure
2917,4,4,Comedy
2917,9,9,Romance
2918,14,14,Crime
2918,4,4,Comedy
2919,13,13,Action
2919,16,16,Thriller
2919,9,9,Romance
2919,1,1,Adventure
2920,16,16,Thriller
2921,16,16,Thriller
2921,1,1,Adventure
2921,13,13,Action
2922,10,10,Drama
2923,16,16,Thriller
2923,37,37,Sci-Fi
2923,1,1,Adventure
2923,13,13,Action
2924,13,13,Action
2924,1,1,Adventure
2924,16,16,Thriller
2925,4,4,Comedy
2925,10,10,Drama
2926,13,13,Action
2926,10,10,Drama
2926,56,56,War
2927,4,4,Comedy
2928,10,10,Drama
2929,49,49,Documentary
2930,13,13,Action
2930,1,1,Adventure
2930,10,10,Drama
2930,56,56,War
2931,10,10,Drama
2932,162,162,Film-Noir
2932,14,14,Crime
2932,16,16,Thriller
2932,33,33,Mystery
2933,10,10,Drama
2934,23,23,Horror
2934,37,37,Sci-Fi
2935,16,16,Thriller
2935,37,37,Sci-Fi
2936,23,23,Horror
2936,16,16,Thriller
2936,37,37,Sci-Fi
2937,37,37,Sci-Fi
2937,23,23,Horror
2937,16,16,Thriller
2938,23,23,Horror
2938,16,16,Thriller
2938,37,37,Sci-Fi
2939,16,16,Thriller
2939,37,37,Sci-Fi
2939,23,23,Horror
2940,16,16,Thriller
2940,37,37,Sci-Fi
2940,23,23,Horror
2941,16,16,Thriller
2941,37,37,Sci-Fi
2941,23,23,Horror
2942,9,9,Romance
2942,10,10,Drama
2943,4,4,Comedy
2944,4,4,Comedy
2944,161,161,Western
2945,1,1,Adventure
2945,3,3,Children
2946,1,1,Adventure
2946,3,3,Children
2947,4,4,Comedy
2947,10,10,Drama
2947,1,1,Adventure
2947,3,3,Children
2948,9,9,Romance
2948,4,4,Comedy
2948,63,63,Musical
2949,23,23,Horror
2949,10,10,Drama
2950,49,49,Documentary
2951,10,10,Drama
2952,49,49,Documentary
2952,63,63,Musical
2953,49,49,Documentary
2954,161,161,Western
2954,16,16,Thriller
2954,10,10,Drama
2954,13,13,Action
2955,14,14,Crime
2955,13,13,Action
2955,16,16,Thriller
2955,10,10,Drama
2956,162,162,Film-Noir
2956,10,10,Drama
2956,14,14,Crime
2957,10,10,Drama
2957,9,9,Romance
2958,4,4,Comedy
2958,10,10,Drama
2958,9,9,Romance
2959,16,16,Thriller
2959,23,23,Horror
2959,37,37,Sci-Fi
2960,1,1,Adventure
2960,2,2,Animation
2960,6,6,Fantasy
2960,37,37,Sci-Fi
2961,4,4,Comedy
2962,4,4,Comedy
2963,4,4,Comedy
2964,4,4,Comedy
2965,4,4,Comedy
2965,23,23,Horror
2966,23,23,Horror
2966,4,4,Comedy
2967,23,23,Horror
2967,4,4,Comedy
2968,4,4,Comedy
2968,23,23,Horror
2969,37,37,Sci-Fi
2969,23,23,Horror
2969,4,4,Comedy
2969,16,16,Thriller
2970,16,16,Thriller
2970,37,37,Sci-Fi
2970,13,13,Action
2971,37,37,Sci-Fi
2971,13,13,Action
2972,10,10,Drama
2972,1,1,Adventure
2972,9,9,Romance
2972,37,37,Sci-Fi
2973,10,10,Drama
2973,37,37,Sci-Fi
2974,37,37,Sci-Fi
2974,16,16,Thriller
2974,14,14,Crime
2974,10,10,Drama
2975,37,37,Sci-Fi
2975,13,13,Action
2975,1,1,Adventure
2976,13,13,Action
2976,16,16,Thriller
2976,1,1,Adventure
2976,37,37,Sci-Fi
2977,13,13,Action
2977,37,37,Sci-Fi
2977,1,1,Adventure
2978,4,4,Comedy
2978,13,13,Action
2978,9,9,Romance
2979,162,162,Film-Noir
2979,33,33,Mystery
2979,23,23,Horror
2979,16,16,Thriller
2980,10,10,Drama
2980,9,9,Romance
2981,23,23,Horror
2981,16,16,Thriller
2982,23,23,Horror
2983,4,4,Comedy
2983,13,13,Action
2983,14,14,Crime
2983,16,16,Thriller
2984,4,4,Comedy
2985,10,10,Drama
2986,10,10,Drama
2987,4,4,Comedy
2987,14,14,Crime
2988,13,13,Action
2988,4,4,Comedy
2988,14,14,Crime
2988,10,10,Drama
2989,14,14,Crime
2989,13,13,Action
2990,49,49,Documentary
2991,4,4,Comedy
2991,9,9,Romance
2992,10,10,Drama
2993,4,4,Comedy
2993,14,14,Crime
2993,33,33,Mystery
2994,10,10,Drama
2995,10,10,Drama
2995,56,56,War
2996,63,63,Musical
2996,2,2,Animation
2997,13,13,Action
2997,16,16,Thriller
2998,161,161,Western
2998,23,23,Horror
2999,16,16,Thriller
2999,14,14,Crime
2999,10,10,Drama
2999,162,162,Film-Noir
3000,16,16,Thriller
3000,13,13,Action
3000,10,10,Drama
3000,14,14,Crime
3001,10,10,Drama
3001,33,33,Mystery
3002,16,16,Thriller
3002,10,10,Drama
3003,23,23,Horror
3004,10,10,Drama
3005,10,10,Drama
3006,10,10,Drama
3006,14,14,Crime
3007,10,10,Drama
3008,10,10,Drama
3008,161,161,Western
3009,10,10,Drama
3010,4,4,Comedy
3010,9,9,Romance
3011,4,4,Comedy
3011,6,6,Fantasy
3011,13,13,Action
3011,1,1,Adventure
3012,16,16,Thriller
3012,14,14,Crime
3012,10,10,Drama
3013,56,56,War
3013,10,10,Drama
3014,9,9,Romance
3014,4,4,Comedy
3015,16,16,Thriller
3015,14,14,Crime
3015,13,13,Action
3016,37,37,Sci-Fi
3016,3,3,Children
3016,2,2,Animation
3016,1,1,Adventure
3016,13,13,Action
3017,10,10,Drama
3018,10,10,Drama
3019,2,2,Animation
3019,3,3,Children
3019,4,4,Comedy
3020,1,1,Adventure
3020,4,4,Comedy
3021,13,13,Action
3021,10,10,Drama
3021,56,56,War
3022,1,1,Adventure
3022,2,2,Animation
3022,3,3,Children
3022,4,4,Comedy
3022,6,6,Fantasy
3023,16,16,Thriller
3023,10,10,Drama
3024,23,23,Horror
3025,10,10,Drama
3025,37,37,Sci-Fi
3025,16,16,Thriller
3026,2,2,Animation
3026,3,3,Children
3026,63,63,Musical
3027,4,4,Comedy
3028,14,14,Crime
3028,13,13,Action
3028,16,16,Thriller
3028,10,10,Drama
3029,14,14,Crime
3029,13,13,Action
3029,16,16,Thriller
3030,16,16,Thriller
3030,14,14,Crime
3030,13,13,Action
3031,10,10,Drama
3031,14,14,Crime
3031,9,9,Romance
3032,13,13,Action
3032,56,56,War
3033,13,13,Action
3033,56,56,War
3034,13,13,Action
3035,23,23,Horror
3035,37,37,Sci-Fi
3035,16,16,Thriller
3036,1,1,Adventure
3036,6,6,Fantasy
3036,13,13,Action
3037,4,4,Comedy
3038,10,10,Drama
3038,9,9,Romance
3038,4,4,Comedy
3039,63,63,Musical
3039,2,2,Animation
3039,3,3,Children
3040,23,23,Horror
3040,4,4,Comedy
3041,37,37,Sci-Fi
3042,10,10,Drama
3042,14,14,Crime
3043,6,6,Fantasy
3043,4,4,Comedy
3044,23,23,Horror
3044,4,4,Comedy
3045,4,4,Comedy
3046,4,4,Comedy
3047,33,33,Mystery
3047,10,10,Drama
3048,10,10,Drama
3049,10,10,Drama
3050,10,10,Drama
3051,10,10,Drama
3051,161,161,Western
3051,9,9,Romance
3052,13,13,Action
3052,1,1,Adventure
3052,37,37,Sci-Fi
3053,4,4,Comedy
3053,10,10,Drama
3054,10,10,Drama
3055,23,23,Horror
3055,10,10,Drama
3055,33,33,Mystery
3056,3,3,Children
3056,2,2,Animation
3057,16,16,Thriller
3057,14,14,Crime
3057,9,9,Romance
3057,10,10,Drama
3058,10,10,Drama
3058,33,33,Mystery
3059,37,37,Sci-Fi
3059,13,13,Action
3060,4,4,Comedy
3061,13,13,Action
3061,1,1,Adventure
3061,10,10,Drama
3062,161,161,Western
3063,1,1,Adventure
3063,6,6,Fantasy
3064,4,4,Comedy
3065,10,10,Drama
3065,16,16,Thriller
3066,10,10,Drama
3066,56,56,War
3067,4,4,Comedy
3068,10,10,Drama
3069,4,4,Comedy
3070,10,10,Drama
3071,4,4,Comedy
3072,3,3,Children
3073,4,4,Comedy
3074,9,9,Romance
3074,10,10,Drama
3075,10,10,Drama
3076,9,9,Romance
3076,10,10,Drama
3077,9,9,Romance
3077,10,10,Drama
3077,4,4,Comedy
3078,16,16,Thriller
3078,23,23,Horror
3078,37,37,Sci-Fi
3079,37,37,Sci-Fi
3079,1,1,Adventure
3079,4,4,Comedy
3079,13,13,Action
3080,4,4,Comedy
3080,9,9,Romance
3081,4,4,Comedy
3082,23,23,Horror
3083,37,37,Sci-Fi
3083,23,23,Horror
3084,10,10,Drama
3084,9,9,Romance
3084,1,1,Adventure
3085,16,16,Thriller
3086,13,13,Action
3086,56,56,War
3086,4,4,Comedy
3087,6,6,Fantasy
3087,13,13,Action
3087,37,37,Sci-Fi
3087,23,23,Horror
3087,16,16,Thriller
3088,23,23,Horror
3089,23,23,Horror
3090,23,23,Horror
3091,4,4,Comedy
3091,13,13,Action
3092,23,23,Horror
3093,10,10,Drama
3094,10,10,Drama
3095,4,4,Comedy
3096,23,23,Horror
3097,10,10,Drama
3097,16,16,Thriller
3098,23,23,Horror
3098,33,33,Mystery
3098,16,16,Thriller
3099,4,4,Comedy
3100,4,4,Comedy
3101,10,10,Drama
3101,9,9,Romance
3101,56,56,War
3102,10,10,Drama
3102,9,9,Romance
3103,16,16,Thriller
3104,4,4,Comedy
3105,49,49,Documentary
3106,14,14,Crime
3106,4,4,Comedy
3106,10,10,Drama
3107,4,4,Comedy
3108,23,23,Horror
3108,10,10,Drama
3108,16,16,Thriller
3109,37,37,Sci-Fi
3109,1,1,Adventure
3109,13,13,Action
3110,49,49,Documentary
3110,4,4,Comedy
3111,14,14,Crime
3111,9,9,Romance
3111,4,4,Comedy
3111,13,13,Action
3112,4,4,Comedy
3113,10,10,Drama
3114,10,10,Drama
3114,161,161,Western
3115,10,10,Drama
3116,4,4,Comedy
3116,161,161,Western
3117,23,23,Horror
3118,13,13,Action
3118,1,1,Adventure
3118,6,6,Fantasy
3119,16,16,Thriller
3119,13,13,Action
3120,49,49,Documentary
3121,4,4,Comedy
3122,10,10,Drama
3122,4,4,Comedy
3123,4,4,Comedy
3123,10,10,Drama
3123,9,9,Romance
3124,10,10,Drama
3125,1,1,Adventure
3125,6,6,Fantasy
3125,13,13,Action
3126,49,49,Documentary
3127,14,14,Crime
3127,10,10,Drama
3128,23,23,Horror
3129,4,4,Comedy
3129,14,14,Crime
3129,16,16,Thriller
3129,9,9,Romance
3129,10,10,Drama
3130,14,14,Crime
3130,16,16,Thriller
3131,16,16,Thriller
3131,14,14,Crime
3132,10,10,Drama
3133,10,10,Drama
3133,4,4,Comedy
3134,10,10,Drama
3134,4,4,Comedy
3135,10,10,Drama
3136,10,10,Drama
3137,4,4,Comedy
3138,16,16,Thriller
3138,14,14,Crime
3139,23,23,Horror
3140,4,4,Comedy
3140,9,9,Romance
3141,10,10,Drama
3141,63,63,Musical
3142,4,4,Comedy
3143,49,49,Documentary
3144,10,10,Drama
3145,10,10,Drama
3146,10,10,Drama
3147,23,23,Horror
3148,23,23,Horror
3149,23,23,Horror
3150,10,10,Drama
3150,6,6,Fantasy
3150,9,9,Romance
3150,33,33,Mystery
3151,4,4,Comedy
3152,4,4,Comedy
3153,37,37,Sci-Fi
3153,23,23,Horror
3154,4,4,Comedy
3155,10,10,Drama
3155,4,4,Comedy
3156,1,1,Adventure
3156,37,37,Sci-Fi
3157,1,1,Adventure
3157,37,37,Sci-Fi
3158,4,4,Comedy
3158,23,23,Horror
3159,4,4,Comedy
3160,37,37,Sci-Fi
3160,1,1,Adventure
3160,23,23,Horror
3161,37,37,Sci-Fi
3161,23,23,Horror
3162,37,37,Sci-Fi
3162,23,23,Horror
3163,37,37,Sci-Fi
3164,16,16,Thriller
3164,23,23,Horror
3164,63,63,Musical
3165,16,16,Thriller
3165,37,37,Sci-Fi
3166,23,23,Horror
3167,23,23,Horror
3168,23,23,Horror
3169,23,23,Horror
3170,23,23,Horror
3171,4,4,Comedy
3172,3,3,Children
3172,2,2,Animation
3172,1,1,Adventure
3173,16,16,Thriller
3173,10,10,Drama
3173,13,13,Action
3174,16,16,Thriller
3174,10,10,Drama
3174,14,14,Crime
3174,13,13,Action
3175,4,4,Comedy
3176,10,10,Drama
3177,10,10,Drama
3178,10,10,Drama
3179,10,10,Drama
3179,16,16,Thriller
3180,9,9,Romance
3180,4,4,Comedy
3181,4,4,Comedy
3182,16,16,Thriller
3182,10,10,Drama
3182,23,23,Horror
3183,13,13,Action
3183,10,10,Drama
3184,1,1,Adventure
3184,37,37,Sci-Fi
3184,13,13,Action
3185,10,10,Drama
3185,16,16,Thriller
3186,23,23,Horror
3187,4,4,Comedy
3187,23,23,Horror
3188,63,63,Musical
3189,3,3,Children
3189,2,2,Animation
3190,162,162,Film-Noir
3190,10,10,Drama
3191,162,162,Film-Noir
3191,14,14,Crime
3192,10,10,Drama
3193,4,4,Comedy
3194,10,10,Drama
3195,23,23,Horror
3196,33,33,Mystery
3196,4,4,Comedy
3197,4,4,Comedy
3197,13,13,Action
3198,23,23,Horror
3198,14,14,Crime
3198,16,16,Thriller
3198,33,33,Mystery
3199,10,10,Drama
3199,4,4,Comedy
3200,10,10,Drama
3200,4,4,Comedy
3201,13,13,Action
3201,4,4,Comedy
3202,9,9,Romance
3202,10,10,Drama
3203,4,4,Comedy
3204,10,10,Drama
3205,16,16,Thriller
3205,13,13,Action
3205,37,37,Sci-Fi
3206,10,10,Drama
3206,9,9,Romance
3207,1,1,Adventure
3207,16,16,Thriller
3207,13,13,Action
3208,10,10,Drama
3208,56,56,War
3209,13,13,Action
3209,37,37,Sci-Fi
3209,16,16,Thriller
3210,9,9,Romance
3210,10,10,Drama
3211,6,6,Fantasy
3211,4,4,Comedy
3211,3,3,Children
3212,49,49,Documentary
3213,2,2,Animation
3213,4,4,Comedy
3213,3,3,Children
3214,4,4,Comedy
3214,3,3,Children
3215,9,9,Romance
3215,10,10,Drama
3215,56,56,War
3216,10,10,Drama
3216,9,9,Romance
3217,37,37,Sci-Fi
3217,10,10,Drama
3218,9,9,Romance
3218,10,10,Drama
3218,13,13,Action
3219,13,13,Action
3219,1,1,Adventure
3219,4,4,Comedy
3219,6,6,Fantasy
3220,10,10,Drama
3221,13,13,Action
3221,1,1,Adventure
3222,1,1,Adventure
3222,10,10,Drama
3223,13,13,Action
3224,4,4,Comedy
3225,4,4,Comedy
3226,16,16,Thriller
3226,13,13,Action
3226,1,1,Adventure
3227,37,37,Sci-Fi
3227,3,3,Children
3227,2,2,Animation
3227,1,1,Adventure
3228,10,10,Drama
3229,56,56,War
3229,10,10,Drama
3230,10,10,Drama
3231,4,4,Comedy
3232,4,4,Comedy
3232,14,14,Crime
3232,16,16,Thriller
3233,10,10,Drama
3233,4,4,Comedy
3234,9,9,Romance
3234,10,10,Drama
3235,37,37,Sci-Fi
3235,4,4,Comedy
3236,4,4,Comedy
3236,6,6,Fantasy
3236,2,2,Animation
3236,3,3,Children
3236,1,1,Adventure
3237,10,10,Drama
3238,4,4,Comedy
3238,9,9,Romance
3239,10,10,Drama
3240,16,16,Thriller
3241,10,10,Drama
3242,10,10,Drama
3243,9,9,Romance
3243,10,10,Drama
3243,4,4,Comedy
3244,9,9,Romance
3245,4,4,Comedy
3245,14,14,Crime
3246,13,13,Action
3246,14,14,Crime
3246,4,4,Comedy
3246,16,16,Thriller
3247,4,4,Comedy
3247,14,14,Crime
3247,1,1,Adventure
3248,10,10,Drama
3248,4,4,Comedy
3249,23,23,Horror
3250,10,10,Drama
3250,9,9,Romance
3250,161,161,Western
3251,56,56,War
3251,10,10,Drama
3251,16,16,Thriller
3252,16,16,Thriller
3252,10,10,Drama
3252,14,14,Crime
3253,9,9,Romance
3253,161,161,Western
3254,10,10,Drama
3254,23,23,Horror
3255,14,14,Crime
3255,162,162,Film-Noir
3255,33,33,Mystery
3255,16,16,Thriller
3256,3,3,Children
3256,63,63,Musical
3257,4,4,Comedy
